Comment,Designator,Footprint,LCSC,Quantity
0kΩ,"R14,R9",R_0603,C21189,2
0Ω,R13,R_0402,C17168,1
100kΩ,R11,R_0402,C25741,1
100kΩ,"R12,R4,R5,R6",R_0603,C25803,4
100nF,"C10,C11,C12,C13,C15,C19,C2,C22,C23",C_0603,C14663,9
100pF,"C16,C17,C18",C_0402,C1546,3
10kΩ,"R15,R16,R3",R_0603,C25804,3
10nF,C9,C_0603,C57112,1
10uF,"C1,C3,C4,C5",C_0805_2012Metric,C15850,4
16.2kΩ,R8,R_0603,C2933154,1
1uF,C8,C_0603,C15849,1
22uF,C6,C_0805,C45783,1
36.5kΩ,R10,R_0603,C2930095,1
4.7uF,C14,C_0805,C1779,1
470nF,C7,C_0603,C1623,1
68kΩ,R7,R_0603,C23231,1
7.87kΩ,R1,R_0603,C2930129,1
8.87kΩ,R2,R_0603,C2998144,1
BALFHB-WL-05D3,FL1,BALFHB-WL-05D3,C5350080,1
BME688_C3664478,U4,BME688_C3664478,C3664478,1
BQ24074RGTR,U2,BQ24074RGTR,C54313,1
Conn_01x03,U.FL1,IPEX-SMD_BWIPX-1-001E,C496552,1
D_TVS,D1,D_SOD-123,C52148347,1
FNR5040S150MT,L3,FNR5040S150MT,C167969,1
FTC252012S2R2MBCA,L1,FTC252012S2R2MBCA,C5832372,1
PE4259-63,U6,PE4259-63,C470892,1
Q13FC1350000400,X1,FC-135R_L3.2-W1.5,C32346,1
STM32WL55CCU6,U1,STM32WL55CCU6,C5270474,1
Solar Panel,"J1,J2",WAFER-PH2_0-2PWZ,C5359610,2
TPS63900DSKR,U3,TPS63900DSKR,C1518762,1
WAFER-PH2_0-2PWZ,BATTERY1,WAFER-PH2_0-2PWZ,C5359610,1
X201632MMB4SI,X2,X201632MMB4SI,C383840,1
Conn_01x10,J_EXP1,PinHeader_1x10_P2.00mm_Vertical,,1
